##############
#Binding energies for the substrates bare grain and water ice (K)
#(Tab.2 of Cazaux+2016 https://www.aanda.org/articles/aa/pdf/2016/01/aa27187-15.pdf)
#name Ebare/K Eice/K

#H 450 450 

CH3NH 5534.0 5534.0
CH3ND 5534.0 5534.0
CH2DNH 5534.0 5534.0
CH2DND 5534.0 5534.0
CHD2NH 5534.0 5534.0

CH2PH 2600.0 2600.0
CH2PD 2600.0 2600.0
CHDPH 2600.0 2600.0
CHDPD 2600.0 2600.0
CD2PH 2600.0 2600.0

CH3CO 2650.0 2650.0
CH2DCO 2650.0 2650.0
CHD2CO 2650.0 2650.0

CH2CHO 2650.0 2650.0
CHDCHO 2650.0 2650.0
CH2CDO 2650.0 2650.0
CD2CHO 2650.0 2650.0
CHDCDO 2650.0 2650.0

COOH 2000.0 2000.0
COOD 2000.0 2000.0
HCOCO 2050.0 2050.0
DCOCO 2050.0 2050.0
HCOCHO 2050.0 2050.0
DCOCHO 2050.0 2050.0
HCOCDO 2050.0 2050.0
DCOCDO 2050.0 2050.0

Mg 5300.0 5300.0
MgH 5750.0 5750.0
MgD 5750.0 5750.0
Si 11600.0 11600.0
SiO 3500.0 3500.0
SiN 3500.0 3500.0
SiS 3800.0 3800.0
SiC 3500.0 3500.0
SiO2 4300.0 4300.0
SiNC 4300.0 4300.0
c_SiC2 4300.0 4300.0
l_SiC3 5100.0 5100.0
SiH 13000.0 13000.0
SiD 13000.0 13000.0
SiH2 3600.0 3600.0
SiHD 3600.0 3600.0
SiD2 3600.0 3600.0
SiH4 4050.0 4050.0
SiH3D 4050.0 4050.0
SiH2D2 4050.0 4050.0

P 1100.0 1100.0
PH 1550.0 1550.0
PD 1550.0 1550.0
PO 1900.0 1900.0
PN 1900.0 1900.0
PH2 2000.0 2000.0
PHD 2000.0 2000.0
PD2 2000.0 2000.0
PN 1900.0 1900.0

CCP 4300.0 4300.0

HCNC2 4580.0 4580.0
DCNC2 4580.0 4580.0
HC2NC 4580.0 4580.0
DC2NC 4580.0 4580.0
HNC3 4580.0 4580.0
DNC3 4580.0 4580.0

CH2CN 4230.0 4230.0
CHDCN 4230.0 4230.0
CD2CN 4230.0 4230.0


C2H5O 3500.0 3500.0
C2H4DO 3500.0 3500.0
C2H3D2O 3500.0 3500.0

#F+ 800.0 800.0
F 800.0 800.0

CH3OCHO 6295.0 6295.0
CH3CHO 5400.0 5400.0

SiCH2 3750.0 3750.0
SiCHD 3750.0 3750.0
SiCD2 3750.0 3750.0
SiCH3 4200.0 4200.0
SiCH2D 4200.0 4200.0
SiCHD2 4200.0 4200.0
SiCD3 4200.0 4200.0

l_C3H 4000.0 4000.0
c_C3H 5200.0 5200.0
l_C3D 4000.0 4000.0
c_C3D 5200.0 5200.0

l_SiC3 5100.0 5100.0

l_C3HD 3387.0 3387.0
c_C3HD 5900.0 5900.0
l_C3H2 3387.0 3387.0
c_C3H2 5900.0 5900.0
l_C3D2 3387.0 3387.0
c_C3D2 5900.0 5900.0

SiNC 4300.0 4300.0
SiO2 4300.0 4300.0

C3P 5900.0 5900.0
C4P 7500.0 7500.0

CH2PH 2600.0 2600.0
CH2PD 2600.0 2600.0
CHDPH 2600.0 2600.0
CHDPD 2600.0 2600.0
CD2PH 2600.0 2600.0
CD2PD 2600.0 2600.0

CP 1900.0 1900.0

HCCP 4750.0 4750.0
DCCP 4750.0 4750.0

HSSH 3100 3100
HSSD 3100 3100
DSSH 3100 3100
DSSD 3100 3100


HNSi 5078.0 5078.0
DNSi 5078.0 5078.0

HF 7500.0 7500.0
DF 7500.0 7500.0

HPO 2350.0 2350.0
DPO 2350.0 2350.0

H2SiCH 4675.0 4675.0
H2SiCD 4675.0 4675.0
D2SiCH 4675.0 4675.0
D2SiCD 4675.0 4675.0
HDSiCH 4675.0 4675.0
HDSiCD 4675.0 4675.0

H2SiO 4050.0 4050.0
HDSiO 4050.0 4050.0
D2SiO 4050.0 4050.0

SiC4H 6437 6437
SiC4D 6437 6437

SiC6H 8037 8037
SiC6D 8037 8037

PN 1900 1900

SiC2CH3 5475 5475
SiC3H 5550 5550
SiC3D 5550 5550

SiCH2 3750 3750
SiCHD 3750 3750

c_HCCHSi 5200 5200
c_HCCDSi 5200 5200
c_DCCDSi 5200 5200
c_DCCHSi 5200 5200

c_SiC2 4300 4300
c_SiC3 5100 5100


SiH3 4050 4050
SiH2D 4050 4050
SiHD2 4050 4050
SiD3 4050 4050

SiH4 4500 4500
SiH3D 4500 4500
SiH2D2 4500 4500
SiHD3 4500 4500
SiD4 4500 4500

H2CSiCH 4675 4675
H2CSiCD 4675 4675
HDCSiCH 4675 4675
HDCSiCD 4675 4675
D2CSiCH 4675 4675
D2CSiCD 4675 4675

MgH2 6200.0 6200.0
MgHD 6200.0 6200.0
MgD2 6200.0 6200.0

HC2N 3780.0 3780.0
DC2N 3780.0 3780.0

HCCN 3780.0 3780.0
DCCN 3780.0 3780.0

SiC2H 4837.0 4837.0
SiC2D 4837.0 4837.0
HCCSi 4837.0 4837.0
DCCSi 4837.0 4837.0

SiC2 4300.0 4300.0
SiC4 5900.0 5900.0

C3H3 3837.0 3837.0
C3H2D 3837.0 3837.0
C3HD2 3837.0 3837.0
C3D3 3837.0 3837.0

C2H5OH 6259.0 6259.0


NH2OH 6806.0 6806.0
NH2OD 6806.0 6806.0
NHDOH 6806.0 6806.0
NHDOD 6806.0 6806.0
ND2OH 6806.0 6806.0
ND2OD 6806.0 6806.0

C4H4 5087.0 5087.0
C4H3D 5087.0 5087.0
C4H2D2 5087.0 5087.0
C4HD3 5087.0 5087.0
C4D4 5087.0 5087.0

N2H2 4756.0 4756.0
N2HD 4756.0 4756.0
N2D2 4756.0 4756.0

NHNO 2850.0 2850.0

HON 3650.0 3650.0
DON 3650.0 3650.0

ENDFILE


