##############
#Binding energies for the substrates bare grain and water ice (K)
#(Tab.2 of Cazaux+2016 https://www.aanda.org/articles/aa/pdf/2016/01/aa27187-15.pdf)
#name Ebare/K Eice/K

#H 450 450 
CH3C4H 5887.000000 5887.000000
CH3C5N 7880.000000 7880.000000
CH3C6H 7487.000000 7487.000000
CH3C7N 9480.000000 9480.000000
#CH3CHO 2450.000000 2450.000000
CH3CN 4680.000000 4680.000000
CD3CN 4680.000000 4680.000000
CH2DCN 4680.000000 4680.000000
CHD2CN 4680.000000 4680.000000
CH3OCH3 3150.000000 3150.000000
CH4 1300.000000 1300.000000
CN 2800.000000 2800.000000
CS 3200.000000 3200.000000
H2CN 2400.000000 2400.000000
HDCN 2400.000000 2400.000000
D2CN 2400.000000 2400.000000
H2CS 4400.000000 4400.000000
HDCS 4400.000000 4400.000000
D2CS 4400.000000 4400.000000
H2S 2743.000000 2743.000000
HDS 2743.000000 2743.000000
D2S 2743.000000 2743.000000
HC2O 2400.000000 2400.000000
DC2O 2400.000000 2400.000000
HC3N 4580.000000 4580.000000
DC3N 4580.000000 4580.000000
HC5N 6180.000000 6180.000000
HC7N 7780.000000 7780.000000
HC9N 9380.000000 9380.000000
HCN 3700.0 3700.0
DCN 3700.0 3700.0
HCOOCH3 6295.000000 6295.000000
HCS 2900.000000 2900.000000
HCSi 3625.0 3625.0
DCSi 3625.0 3625.0
DCS 2900.000000 2900.000000
HNC 3800.0 3800.0
DNC 3800.0 3800.0
HNCO 4400.0 4400.0
DNCO 4400.0 4400.0
HNO 3000.0 3000.0
DNO 3000.0 3000.0
HS 2700.000000 2700.000000
DS 2700.000000 2700.000000
N2 1170.000000 1170.000000
N2O 2400.000000 2400.000000
#NH2CHO 5556.000000 5556.000000
#NHDCHO 5556.000000 5556.000000
#NH2CDO 5556.000000 5556.000000
#ND2CHO 5556.000000 5556.000000
#NHDCDO 5556.000000 5556.000000
#ND2CDO 5556.000000 5556.000000
NH2CHO 6300.0 6300.0
NHDCHO 6300.0 6300.0
NH2CDO 6300.0 6300.0
ND2CHO 6300.0 6300.0
NHDCDO 6300.0 6300.0
ND2CDO 6300.0 6300.0
NH2CN 5556.000000 5556.000000
NHDCN 5556.000000 5556.000000
ND2CN 5556.000000 5556.000000
NO 1600.000000 1600.000000
NO2 2400.000000 2400.000000
NS 1900.000000 1900.000000
OCN 2400.000000 2400.000000
OCS 2888.000000 2888.000000
S2 2200.000000 2200.000000
SO 2800.000000 2800.000000
SO2 3405.000000 3405.000000

# KIDA:
C10 8000.0 8000.0
C10H 8450.0 8450.0
C10H2 8550.0 8550.0
C10N 8800.0 8800.0
C11 9600 9600
C5O 4350 4350
C6N 5600 5600
C7O 5950 5950
C8N 7200 7200
C9O 7550 7550
CCH 3000 3000 
CCD 3000 3000 
CCN 2400 2400
CCO 1950 1950
CCS 2700 2700
CH3CHCH2 3100.0 3100.0
CH2CCH 3300 3300
CH2CCD 3300 3300
CHDCCD 3300 3300
CHDCCH 3300 3300
CD2CCH 3300 3300
CD2CCD 3300 3300
CH2CHC2H 5087 5087
CH2CHCHCH2 5987 5987
CH2CHCN 5480 5480
CH3CCH 3800 3800
CH3CH2OH 5400 5400
CH3COCH3 3500 3500
CH3NH2 6584 6584
CH3OCH2 3500 3500
H2CCN 4230 4230
HDCCN 4230 4230
D2CCN 4230 4230
H2CCO 2800 2800
HDCCO 2800 2800
D2CCO 2800 2800
HC4N 5380 5380
DC4N 5380 5380
HC6N 7780 7780
DC6N 7780 7780
HC8N 9380 9380
DC8N 9380 9380
HCCNC 4580 4580
DCCNC 4580 4580
HCNCC 4580 4580
DCNCC 4580 4580
HNCCC 4580 4580
DNCCC 4580 4580
HSS 2650 2650
DSS 2650 2650
NC4N 4200 4200
NC6N 5800 5800
NC8N 7400 7400

C2S 2700.0 2700.0
C2O 1950.0 1950.0
CH2CO 2200.0 2200.0
C2N 2400.0 2400.0
N2H 1450.0 1450.0
HS2 2650.0 2650.0

Na 11800.0 11800.0
NaH 12250.0 12250.0
NaD 12250.0 12250.0
NaOH 14650.0 14650.0
NaOD 14650.0 14650.0

CCl 1900.0 1900.0
CCP 4300.0 4300.0
C4P 7500.0 7500.0

HON 3000.0 3000.0
HPO 2350.0 2350.0
HCl 5174.0 5174.0
HCP 2350.0 2350.0
HCCP 4750.0 4750.0
ClO 1900.0 1900.0

Cl 3000.0 3000.0
CP 1900.0 1900.0
CNH2 2400.0 2400.0
CHNH 2400.0 2400.0

CH3NH 5534.0 5534.0
CH2PH 2600.0 2600.0

CH3CO 2650.0 2650.0
CH2CHO 2650.0 2650.0

COOH 2000.0 2000.0
HCOCO 2050.0 2050.0
HCOCHO 2050.0 2050.0


Mg 5300.0 5300.0
MgH 5750.0 5750.0
MgD 5750.0 5750.0
Si 11600.0 11600.0
SiO 3500.0 3500.0
SiN 3500.0 3500.0
SiS 3800.0 3800.0
SiC 3500.0 3500.0
SiO2 4300.0 4300.0
SiNC 4300.0 4300.0
c-SiC2 4300.0 4300.0
l-SiC3 5100.0 5100.0
SiH 13000.0 13000.0
SiH2 3600.0 3600.0
SiD2 3600.0 3600.0
SiHD 3600.0 3600.0
SiD 13000.0 13000.0
SiH4 4050.0 4050.0
SiH4 4500.0 4500.0

P 1100.0 1100.0
PH 1550.0 1550.0
PD 1550.0 1550.0
PO 1900.0 1900.0
PN 1900.0 1900.0
PH2 2000.0 2000.0
PHD 2000.0 2000.0
PD2 2000.0 2000.0
PN 1900.0 1900.0

CCP 4300.0 4300.0

HCNC2 4580.0 4580.0
HC2NC 4580.0 4580.0
HNC3 4580.0 4580.0

CH2CN 4230.0 4230.0
CH3OCH2 3500.0 3500.0
C2H5O 3500.0 3500.0

#F+ 800.0 800.0
F 800.0 800.0

CH3OCHO 6295.0 6295.0
CH3CHO 5400.0 5400.0

SiCH2 3750.0 3750.0
SiCH3 4200.0 4200.0

l_C3H 4000.0 4000.0
c_C3H 5200.0 5200.0
l_C3D 4000.0 4000.0
c_C3D 5200.0 5200.0

l_SiC3 5100.0 5100.0

l_C3HD 3387.0 3387.0
c_C3HD 5900.0 5900.0
l_C3H2 3387.0 3387.0
c_C3H2 5900.0 5900.0
l_C3D2 3387.0 3387.0
c_C3D2 5900.0 5900.0

SiNC 4300.0 4300.0
SiO2 4300.0 4300.0

C3P 5900.0 5900.0
C4P 7500.0 7500.0

CH2PH 2600.0 2600.0
CH2PD 2600.0 2600.0
CD2PH 2600.0 2600.0
CD2PD 2600.0 2600.0
CHDPH 2600.0 2600.0
CHDPD 2600.0 2600.0

CP 1900.0 1900.0

HCCP 4750.0 4750.0
DCCP 4750.0 4750.0

HSSH 3100 3100
HSSD 3100 3100
DSSH 3100 3100
DSSD 3100 3100

HCP 2350.0 2350.0
DCP 2350.0 2350.0

HNSi 5078.0 5078.0
DNSi 5078.0 5078.0

HF 7500.0 7500.0
DF 7500.0 7500.0

HPO 2350.0 2350.0
DPO 2350.0 2350.0

H2SiCH 4675.0 4675.0
H2SiCD 4675.0 4675.0
D2SiCH 4675.0 4675.0
D2SiCD 4675.0 4675.0
HDSiCH 4675.0 4675.0
HDSiCD 4675.0 4675.0

H2SiO 4050.0 4050.0
HDSiO 4050.0 4050.0
D2SiO 4050.0 4050.0

SiC4H 6437 6437
SiC4D 6437 6437

SiC6H 8037 8037
SiC6D 8037 8037

PN 1900 1900

SiC2CH3 5475 5475
SiC3H 5550 5550
SiC3D 5550 5550

SiCH2 3750 3750
SiCHD 3750 3750

c_HCCHSi 5200 5200
c_HCCDSi 5200 5200
c_DCCDSi 5200 5200
c_DCCHSi 5200 5200

c_SiC2 4300 4300
c_SiC3 5100 5100


SiH3 4050 4050
SiH2D 4050 4050
SiHD2 4050 4050
SiD3 4050 4050

SiH4 4500 4500
SiH3D 4500 4500
SiH2D2 4500 4500
SiHD3 4500 4500
SiD4 4500 4500

H2CSiCH 4675 4675
H2CSiCD 4675 4675
HDCSiCH 4675 4675
HDCSiCD 4675 4675
D2CSiCH 4675 4675
D2CSiCD 4675 4675

ENDFILE


